recipe_config_id,pipeline_recipe_id,feature_recipe_id,prescreen_recipe_id,prescreen_name,prescreen_methods,rank_aggregation,feature_size,model_spec_id,base_model_family,model_kind,model_params,inner_selection_rank,inner_oof_business_score,inner_oof_optimal_k,inner_oof_f1_score,inner_oof_roc_auc_score,selection_artifact,outer_fold,selected_features_text,selected_feature_count,status,error,duration_seconds,outer_business_score,outer_optimal_k,outer_tp_at_optimal_k,outer_fp_at_optimal_k,outer_gross_score,feature_penalty,outer_f1_score,outer_roc_auc_score,outer_n_predictions,outer_selected_rate,outer_threshold
ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",11,4931.25,999.0,0.4962790263665386,0.6937948294743939,round2_inner_oof_scores.csv,4,"var_175,var_190,var_254,var_341,var_379,var_482",6,ok,,0.5876297840150073,1535.0,776,441,335,2735.0,1200.0,0.6923076923076922,0.6967831485303765,1000,0.776,0.4638776958043957
ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",7,4943.75,996.5,0.4968225465218888,0.6946439744846193,round2_inner_oof_scores.csv,4,"var_175,var_190,var_254,var_341,var_379,var_482",6,ok,,0.6849184629973024,1530.0,852,466,386,2730.0,1200.0,0.6903703703703704,0.6954031264500231,1000,0.852,0.4623867459916332
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",8,4940.0,999.5,0.4966972824267853,0.6936157007692544,round2_inner_oof_scores.csv,4,"var_175,var_190,var_254,var_341,var_379,var_482",6,ok,,0.7687621140212286,1525.0,832,459,373,2725.0,1200.0,0.6902255639097744,0.6944551112817805,1000,0.832,0.4625117297271699
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",3,4966.25,999.5,0.497867375471489,0.6938303312620817,round2_inner_oof_scores.csv,4,"var_175,var_190,var_254,var_341,var_379,var_482",6,ok,,0.4249996390135493,1520.0,851,465,386,2720.0,1200.0,0.6893995552260934,0.6932350917614681,1000,0.851,0.467486190315841
ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",2,4972.5,999.0,0.4981182675758351,0.6912097692945731,round2_inner_oof_scores.csv,4,"var_175,var_190,var_254,var_341,var_379,var_482",6,ok,,0.4016583670163527,1515.0,831,458,373,2715.0,1200.0,0.689240030097818,0.694039104625674,1000,0.831,0.4764240271862611
ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",10,4932.0,996.6,0.4962859577031569,0.6937976732458543,round2_inner_oof_scores.csv,4,"var_159,var_175,var_190,var_254,var_341,var_379",6,ok,,0.5353472950228024,1515.0,768,437,331,2715.0,1200.0,0.6903633491311216,0.6976671626746028,1000,0.768,0.4710564329693372
ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",12,4930.0,998.2,0.4961539244265684,0.6924628436255523,round2_inner_oof_scores.csv,4,"var_159,var_175,var_190,var_254,var_341,var_379",6,ok,,0.4445412030036095,1500.0,753,431,322,2700.0,1200.0,0.689048760991207,0.6966431462903406,1000,0.753,0.4762571835263527
ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",4,4960.0,1000.0,0.4974924774322968,0.6785812412701357,round2_inner_oof_scores.csv,4,"var_10,var_159,var_190,var_254,var_415,var_463",6,ok,,0.4088881390052847,1305.0,966,489,477,2505.0,1200.0,0.6680327868852458,0.623737979807677,1000,0.966,0.4673951414506673
ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep04,xgboost_classifier,classifier,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 300, ""scale_pos_weight_multiplier"": 1.2}",6,4950.0,996.0,0.496823804747576,0.6884111903266041,round2_inner_oof_scores.csv,4,"var_10,var_159,var_190,var_254,var_415,var_463",6,ok,,0.1327570950088556,1280.0,995,497,498,2480.0,1200.0,0.6657736101808439,0.6445303124849997,1000,0.995,0.2924534678459167
ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005__extra_trees_small_deep02,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",1,4985.0,999.0,0.4897959183673469,0.6824120603015076,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379",5,ok,,0.5892543499940075,1645.0,617,382,235,2645.0,1000.0,0.6852017937219731,0.7009152146434342,1000,0.617,0.4826741870596795
ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005__extra_trees_small_deep03,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",5,4950.0,1000.0,0.4882943143812709,0.6835658391459787,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379",5,ok,,0.6183595279871952,1635.0,685,404,281,2635.0,1000.0,0.6830092983939138,0.6979871677946847,1000,0.685,0.4738660970296692
ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005__extra_trees_small_deep05,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep05,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 24, ""n_estimators"": 500}",9,4935.0,1000.0,0.4876254180602007,0.6823578089452237,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379",5,ok,,0.7798643210262526,1635.0,619,382,237,2635.0,1000.0,0.6839749328558639,0.6986751788028609,1000,0.619,0.476226444592665
ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006__extra_trees_small_deep03,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",7,4943.75,996.5,0.4968225465218888,0.6946439744846193,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_482",6,ok,,0.7106709989893716,1565.0,731,428,303,2765.0,1200.0,0.6967632027257241,0.7121153938463016,1000,0.731,0.4741533961348619
ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006__extra_trees_small_deep02,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",3,4966.25,999.5,0.497867375471489,0.6938303312620817,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_482",6,ok,,0.5970793819869868,1560.0,690,414,276,2760.0,1200.0,0.6969696969696969,0.7109953759260148,1000,0.69,0.4797425135271385
ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006__extra_trees_small_deep08,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",8,4940.0,999.5,0.4966972824267853,0.6936157007692544,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_482",6,ok,,0.6559069009963423,1560.0,735,429,306,2760.0,1200.0,0.6958637469586376,0.710175362805805,1000,0.735,0.4723451192492095
ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007__k_006__extra_trees_small_deep04,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",11,4931.25,999.0,0.4962790263665386,0.6937948294743939,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_482",6,ok,,0.580998194986023,1555.0,703,418,285,2755.0,1200.0,0.6960865945045797,0.707883326133218,1000,0.703,0.4745695400126899
ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006__extra_trees_small_deep01,ps_mean_0007__k_006,ps_mean_0007,single__sparse_gam_spam,"[""sparse_gam_spam""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",2,4972.5,999.0,0.4981182675758351,0.6912097692945731,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_482",6,ok,,0.5878439030202571,1540.0,709,419,290,2740.0,1200.0,0.6942833471416735,0.7084153346453543,1000,0.709,0.4835834125942319
ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006__extra_trees_small_deep03,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep03,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 16, ""n_estimators"": 400}",10,4932.0,996.6,0.4962859577031569,0.6937976732458543,round2_inner_oof_scores.csv,5,"var_116,var_190,var_214,var_254,var_341,var_379",6,ok,,0.5870775110088289,1530.0,870,472,398,2730.0,1200.0,0.6900584795321637,0.6987711803388854,1000,0.87,0.466573811651261
ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006__extra_trees_small_deep02,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",12,4930.0,998.2,0.4961539244265684,0.6924628436255523,round2_inner_oof_scores.csv,5,"var_116,var_190,var_214,var_254,var_341,var_379",6,ok,,0.4134627229941543,1530.0,864,470,394,2730.0,1200.0,0.6901615271659324,0.6989591833469336,1000,0.864,0.4723489049799728
ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006__extra_trees_small_deep01,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",4,4960.0,1000.0,0.4974924774322968,0.6785812412701357,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_463",6,ok,,0.5621746590186376,1435.0,766,431,335,2635.0,1200.0,0.6819620253164557,0.6931270900334405,1000,0.766,0.4813484768408919
ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006__xgboost_classifier_deep04,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep04,xgboost_classifier,classifier,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 300, ""scale_pos_weight_multiplier"": 1.2}",6,4950.0,996.0,0.496823804747576,0.6884111903266041,round2_inner_oof_scores.csv,5,"var_175,var_190,var_214,var_254,var_379,var_463",6,ok,,0.1411047959991265,1395.0,810,443,367,2595.0,1200.0,0.6773700305810398,0.6850809612953808,1000,0.81,0.3857815265655517
ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",19,4905.0,1000.0,0.4862876254180602,0.682884822120553,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.47469527699922764,1545.0,982,497,485,2545.0,1000.0,0.6720757268424611,0.656423631250725,1000,0.982,0.4461349159279748
ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",16,4920.0,1000.0,0.4869565217391303,0.6819800495012376,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.7017719720006426,1530.0,982,496,486,2530.0,1000.0,0.6707234617985126,0.6572356604837775,1000,0.982,0.43608619988814457
ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",20,4905.0,1000.0,0.4862876254180602,0.682747068676717,round2_inner_oof_scores.csv,1,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.3006214610004463,1510.0,980,494,486,2510.0,1000.0,0.6689234935680434,0.6553915940973873,1000,0.98,0.4659160861677069
ps_mean_0052__k_006__xgboost_classifier_deep03,ps_mean_0052__k_006__xgboost_classifier_deep03,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep03,xgboost_classifier,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",13,4925.0,995.0,0.4956463496316142,0.6882389368384709,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.37823323199972947,1505.0,707,416,291,2705.0,1200.0,0.6910299003322259,0.6955530399094367,1000,0.707,0.37082669138908386
ps_mean_0052__k_006__xgboost_classifier_deep06,ps_mean_0052__k_006__xgboost_classifier_deep06,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep06,xgboost_classifier,classifier,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 420, ""scale_pos_weight_multiplier"": 1.5}",17,4915.0,997.0,0.4953145917001338,0.6870644130543644,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.1954597730000387,1485.0,759,432,327,2685.0,1200.0,0.6878980891719746,0.6933729614266113,1000,0.759,0.4225490093231201
ps_mean_0052__k_006__extra_trees_small_deep08,ps_mean_0052__k_006__extra_trees_small_deep08,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",18,4915.0,1000.0,0.4954864593781344,0.6805527811938191,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.5648522319997937,1465.0,805,446,359,2665.0,1200.0,0.6858108108108109,0.698469144889216,1000,0.805,0.4724971304435546
ps_mean_0052__k_006__extra_trees_small_deep02,ps_mean_0052__k_006__extra_trees_small_deep02,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",14,4925.0,992.0,0.4954743546765002,0.6802312746833123,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_264,var_341",6,ok,,0.3354534619993501,1460.0,761,431,330,2660.0,1200.0,0.685214626391097,0.6997611914028905,1000,0.761,0.47922821989942843
ps_mean_0005__k_006__extra_trees_small_deep04,ps_mean_0005__k_006__extra_trees_small_deep04,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",15,4923.0,999.6,0.49591973244147153,0.6940189783191468,round2_inner_oof_scores.csv,1,"var_159,var_190,var_214,var_254,var_341,var_379",6,ok,,0.5870049019995349,1400.0,881,467,414,2600.0,1200.0,0.6777939042089985,0.6912808861119,1000,0.881,0.4648670725861607
ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",16,4920.0,1000.0,0.4869565217391303,0.6819800495012376,round2_inner_oof_scores.csv,2,"var_175,var_190,var_214,var_341,var_379",5,ok,,0.4723724030000085,1575.0,919,478,441,2575.0,1000.0,0.6751412429378532,0.6605437795760647,1000,0.919,0.44702878366963716
ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032__k_005__extra_trees_small_deep01,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep01,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 8, ""n_estimators"": 320}",20,4905.0,1000.0,0.4862876254180602,0.682747068676717,round2_inner_oof_scores.csv,2,"var_175,var_190,var_214,var_341,var_379",5,ok,,0.2737706249999974,1575.0,937,484,453,2575.0,1000.0,0.6750348675034868,0.6571036557316063,1000,0.937,0.4693974101055355
ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",19,4905.0,1000.0,0.4862876254180602,0.682884822120553,round2_inner_oof_scores.csv,2,"var_175,var_190,var_214,var_341,var_379",5,ok,,0.4007442629999787,1545.0,922,477,445,2545.0,1000.0,0.672311600338696,0.6613798096731482,1000,0.922,0.45553758666529137
ps_mean_0005__k_006__extra_trees_small_deep04,ps_mean_0005__k_006__extra_trees_small_deep04,ps_mean_0005__k_006,ps_mean_0005,single__lightgbm_gain,"[""lightgbm_gain""]",mean_rank_score,6,extra_trees_small_deep04,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 400}",15,4923.0,999.6,0.49591973244147153,0.6940189783191468,round2_inner_oof_scores.csv,2,"var_175,var_190,var_214,var_254,var_341,var_379",6,ok,,0.4570149070004845,1470.0,753,429,324,2670.0,1200.0,0.6864000000000001,0.7016772603813737,1000,0.753,0.4701254562020871
ps_mean_0052__k_006__extra_trees_small_deep08,ps_mean_0052__k_006__extra_trees_small_deep08,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",18,4915.0,1000.0,0.4954864593781344,0.6805527811938191,round2_inner_oof_scores.csv,2,"var_159,var_190,var_254,var_264,var_308,var_379",6,ok,,0.3929164339997442,1400.0,704,408,296,2600.0,1200.0,0.6794338051623647,0.6803244916817006,1000,0.704,0.48064476621109026
ps_mean_0052__k_006__extra_trees_small_deep02,ps_mean_0052__k_006__extra_trees_small_deep02,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,extra_trees_small_deep02,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 320}",14,4925.0,992.0,0.4954743546765002,0.6802312746833123,round2_inner_oof_scores.csv,2,"var_159,var_190,var_254,var_264,var_308,var_379",6,ok,,0.28609986400078924,1370.0,752,422,330,2570.0,1200.0,0.6757405924739792,0.6788444383997825,1000,0.752,0.4810773687007305
ps_mean_0052__k_006__xgboost_classifier_deep06,ps_mean_0052__k_006__xgboost_classifier_deep06,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep06,xgboost_classifier,classifier,"{""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 420, ""scale_pos_weight_multiplier"": 1.5}",17,4915.0,997.0,0.4953145917001338,0.6870644130543644,round2_inner_oof_scores.csv,2,"var_159,var_190,var_254,var_264,var_308,var_379",6,ok,,0.15283615099997405,1355.0,713,408,305,2555.0,1200.0,0.6743801652892563,0.6855886811925229,1000,0.713,0.46080896258354187
ps_mean_0052__k_006__xgboost_classifier_deep03,ps_mean_0052__k_006__xgboost_classifier_deep03,ps_mean_0052__k_006,ps_mean_0052,triple__mutual_info+lightgbm_gain+ebm,"[""mutual_info"", ""lightgbm_gain"", ""ebm""]",mean_rank_score,6,xgboost_classifier_deep03,xgboost_classifier,classifier,"{""learning_rate"": 0.035, ""max_depth"": 3, ""min_child_weight"": 3.0, ""n_estimators"": 260, ""scale_pos_weight_multiplier"": 1.0}",13,4925.0,995.0,0.4956463496316142,0.6882389368384709,round2_inner_oof_scores.csv,2,"var_159,var_190,var_254,var_264,var_308,var_379",6,ok,,0.08901838500059966,1345.0,691,400,291,2545.0,1200.0,0.6734006734006734,0.6904728570228529,1000,0.691,0.3846689462661743
ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005__extra_trees_small_deep08,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep08,extra_trees_small,classifier,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 20, ""n_estimators"": 500}",19,4905.0,1000.0,0.4862876254180602,0.682884822120553,round2_inner_oof_scores.csv,3,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.39122018800026126,1620.0,691,405,286,2620.0,1000.0,0.6812447434819175,0.6886390182242916,1000,0.691,0.47629894873073036
ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005__extra_trees_small_deep06,ps_mean_0032__k_005,ps_mean_0032,pair__lightgbm_gain+sparse_gam_spam,"[""lightgbm_gain"", ""sparse_gam_spam""]",mean_rank_score,5,extra_trees_small_deep06,extra_trees_small,classifier,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 30, ""n_estimators"": 500}",16,4920.0,1000.0,0.4869565217391303,0.6819800495012376,round2_inner_oof_scores.csv,3,"var_175,var_214,var_254,var_341,var_379",5,ok,,0.5218895999996676,1610.0,666,396,270,2610.0,1000.0,0.6804123711340206,0.687046992751884,1000,0.666,0.4783961981263498
